"USA Denver, 1999, Conference, NIPS","NIPS 1999, Conference, Denver USA"
"France Paris, 2015, Conference, COLT","COLT 2015, Conference, Paris France"
"USA Chicago, 2016, Symposium, PODC","PODC 2016, Symposium, Chicago USA"
"USA Los Angeles, 2018, Symposium, ISCA","ISCA 2018, Symposium, Los Angeles USA"
"2018 PERCOM (Conference) in Athens, Greece","PERCOM 2018, Conference, Athens Greece"
"2005 IJCAI (Conference) in Edinburgh, UK","IJCAI 2005, Conference, Edinburgh UK"
"Canada Montreal, 2014, Conference, NIPS","NIPS 2014, Conference, Montreal Canada"
"2011 ECML PKDD (Conference) in Athens, Greece","ECML PKDD 2011, Conference, Athens Greece"
"Conference: IJCAI 2003, Acapulco Mexico","IJCAI 2003, Conference, Acapulco Mexico"
"Chile Santiago, 2015, Conference, ICCV","ICCV 2015, Conference, Santiago Chile"
"USA Las Vegas, 2010, Conference, FOCS","FOCS 2010, Conference, Las Vegas USA"
"Canada Vancouver, 2006, Conference, NIPS","NIPS 2006, Conference, Vancouver Canada"
"Korea Seoul, 2016, Symposium, ISCA","ISCA 2016, Symposium, Seoul Korea"
"Brazil Rio de Janeiro, 2013, Conference, WWW","WWW 2013, Conference, Rio de Janeiro Brazil"
"Conference: OOPSLA 1986, Portland USA","OOPSLA 1986, Conference, Portland USA"
"Conference: FOCS 2001, Las Vegas USA","FOCS 2001, Conference, Las Vegas USA"
"USA Philadelphia, 2008, Conference, FOCS","FOCS 2008, Conference, Philadelphia USA"
"Israel Haifa, 2010, Conference, COLT","COLT 2010, Conference, Haifa Israel"
"2011 ESWC (Conference) in Heraklion, Greece","ESWC 2011, Conference, Heraklion Greece"
"USA Seattle, 2013, Conference, PLDI","PLDI 2013, Conference, Seattle USA"
"Symposium: PODC 1988, Toronto Canada","PODC 1988, Symposium, Toronto Canada"
"Canada Alberta, 1988, Symposium, UIST","UIST 1988, Symposium, Alberta Canada"
"Spain Barcelona, 1991, Conference, VLDB","VLDB 1991, Conference, Barcelona Spain"
"Austria Linz, 1985, Conference, EuroCrypt","EuroCrypt 1985, Conference, Linz Austria"
"Symposium: NDSS 2008, San Diego USA","NDSS 2008, Symposium, San Diego USA"
"USA Pasadena, 2009, Conference, IJCAI","IJCAI 2009, Conference, Pasadena USA"
"USA San Diego, 2003, Conference, PLDI","PLDI 2003, Conference, San Diego USA"
"2010 WWW (Conference) in Raleigh, USA","WWW 2010, Conference, Raleigh USA"
"2014 CCS (Conference) in Scottsdale, USA","CCS 2014, Conference, Scottsdale USA"
"1989 PODS (Conference) in Philadelphia, USA","PODS 1989, Conference, Philadelphia USA"
"2010 ISWC (Conference) in Shanghai, China","ISWC 2010, Conference, Shanghai China"
"1994 COLT (Conference) in New Brunswick, USA","COLT 1994, Conference, New Brunswick USA"
"Symposium: POPL 1991, Orlando USA","POPL 1991, Symposium, Orlando USA"
"Canada St. John's, 2004, Symposium, PODC","PODC 2004, Symposium, St. John's Canada"
"Netherlands Amsterdam, 1998, Workshop, FOGA","FOGA 1998, Workshop, Amsterdam Netherlands"
