Tomb Sweeping Day in 2024,"2024, Tomb Sweeping Day"
2005 Victory Day,"2005, Victory Day"
2022 Diwali,"2022, Diwali"
2024 Patronal Festival,"2024, Patronal Festival"
Nowroz in 2020,"2020, Nowroz"
Yeondeunghoe in 2008,"2008, Yeondeunghoe"
2019 Canada Day,"2019, Canada Day"
2009 Bastille Day,"2009, Bastille Day"
Kadayawan Festival in 2016,"2016, Kadayawan Festival"
Whitsun in 2018,"2018, Whitsun"
2009 Tsukimi Festival,"2009, Tsukimi Festival"
Naadam Festival in 2021,"2021, Naadam Festival"
2018 Beltane Day,"2018, Beltane Day"
2015 Showa Day,"2015, Showa Day"
Easter in 1998,"1998, Easter"
Christmas in 1993,"1993, Christmas"
2019 Thanksgiving Day,"2019, Thanksgiving Day"
Eid al-Fitr in 2023,"2023, Eid al-Fitr"
Saturnalia Festival in 1990,"1990, Saturnalia Festival"
Ascension Day in 2021,"2021, Ascension Day"
Greenery Day in 1997,"1997, Greenery Day"
2000 Losar Festival,"2000, Losar Festival"
2004 Epiphany,"2004, Epiphany"
2018 Ashura,"2018, Ashura"
2002 German Unity Day,"2002, German Unity Day"
Halloween in 2023,"2023, Halloween"
2019 Oktoberfest,"2019, Oktoberfest"
2009 Sangken Festival,"2009, Sangken Festival"
2019 Songkran Festival,"2019, Songkran Festival"
Sizdah Bedar in 2016,"2016, Sizdah Bedar"
Independence Day in 2015,"2015, Independence Day"
Valentine Day in 2024,"2024, Valentine Day"
Chuseok in 2020,"2020, Chuseok"
2019 Hangul Day,"2019, Hangul Day"
Holi Festival in 2017,"2017, Holi Festival"
2009 Labor Day,"2009, Labor Day"
1985 Mid Autumn Festival,"1985, Mid Autumn Festival"
1995 Dragon Boat Festival,"1995, Dragon Boat Festival"
Chinese National Day in 2022,"2022, Chinese National Day"
Boxing Day in 2021,"2021, Boxing Day"
