2000 Losar Festival,"2000, Losar Festival"
2009 Tsukimi Festival,"2009, Tsukimi Festival"
Christmas in 1993,"1993, Christmas"
2002 German Unity Day,"2002, German Unity Day"
Ascension Day in 2021,"2021, Ascension Day"
Valentine Day in 2024,"2024, Valentine Day"
2022 Diwali,"2022, Diwali"
Whitsun in 2018,"2018, Whitsun"
Independence Day in 2015,"2015, Independence Day"
Yeondeunghoe in 2008,"2008, Yeondeunghoe"
2024 Patronal Festival,"2024, Patronal Festival"
2019 Songkran Festival,"2019, Songkran Festival"
Holi Festival in 2017,"2017, Holi Festival"
1985 Mid Autumn Festival,"1985, Mid Autumn Festival"
Sizdah Bedar in 2016,"2016, Sizdah Bedar"
Naadam Festival in 2021,"2021, Naadam Festival"
Halloween in 2023,"2023, Halloween"
2009 Bastille Day,"2009, Bastille Day"
2019 Thanksgiving Day,"2019, Thanksgiving Day"
2005 Victory Day,"2005, Victory Day"
Eid al-Fitr in 2023,"2023, Eid al-Fitr"
2019 Canada Day,"2019, Canada Day"
2018 Ashura,"2018, Ashura"
2019 Hangul Day,"2019, Hangul Day"
Boxing Day in 2021,"2021, Boxing Day"
2019 Oktoberfest,"2019, Oktoberfest"
2015 Showa Day,"2015, Showa Day"
2009 Labor Day,"2009, Labor Day"
2018 Beltane Day,"2018, Beltane Day"
1995 Dragon Boat Festival,"1995, Dragon Boat Festival"
Greenery Day in 1997,"1997, Greenery Day"
2009 Sangken Festival,"2009, Sangken Festival"
Kadayawan Festival in 2016,"2016, Kadayawan Festival"
Nowroz in 2020,"2020, Nowroz"
2004 Epiphany,"2004, Epiphany"
Chinese National Day in 2022,"2022, Chinese National Day"
Tomb Sweeping Day in 2024,"2024, Tomb Sweeping Day"
Chuseok in 2020,"2020, Chuseok"
Easter in 1998,"1998, Easter"
Saturnalia Festival in 1990,"1990, Saturnalia Festival"
