Tim Cook CEO,CEO Cook
Iwata Satoru President,President Iwata
Professor Yukawa Hideki,Professor Yukawa
Professor Michael Ralph Stonebraker,Professor Stonebraker
Doctor Syed Ahson,Doctor Ahson
Professor Robert Koch,Professor Koch
Wu Eddie CEO,CEO Wu
Doctor Andrew Fielding Huxley,Doctor Huxley
Doctor Richard Phillips Feynman,Doctor Feynman
Marie Curie Doctor,Doctor Curie
Colin Huang CTO,CTO Huang
Ronald Reagan President,President Reagan
Fukui Kenichi Doctor,Doctor Fukui
Professor Stephen Hawking,Professor Hawking
President George Walker Bush,President Bush
Koshiba Masatoshi Doctor,Doctor Koshiba
Angela Merkel Chancellor,Chancellor Merkel
President Abe Shinzo,President Shinzo
Professor Edgar Frank Codd,Professor Codd
Professor Philip William Higgs,Professor Higgs
Nakamura Shuji Doctor,Doctor Nakamura
CTO Pravjit Tiwana,CTO Tiwana
CFO Vaibhav Taneja,CFO Taneja
CEO Satya Nadella,CEO Nadella
President Bill Clinton,President Clinton
President Joachim Gauck,President Gauck
President Mark Zuckerberg,President Zuckerberg
Doctor Julius Robert Oppenheimer,Doctor Oppenheimer
Brian Olsavsky CFO,CFO Olsavsky
President Barack Obama,President Obama
Niels Bohr Doctor,Doctor Bohr
Chancellor Helmut Kohl,Chancellor Kohl
Walter Kohn Doctor,Doctor Kohn
Albert Einstein Doctor,Doctor Einstein
CEO Elon Musk,CEO Musk
Professor David Baltimore,Professor Baltimore
Ma Huateng President,President Ma
Sundar Pichai CEO,CEO Pichai
Emmanuel Macron President,President Macron
Li Sanli Doctor,Doctor Li
