President Bill Clinton,President Clinton
Professor Stephen Hawking,Professor Hawking
Nakamura Shuji Doctor,Doctor Nakamura
Niels Bohr Doctor,Doctor Bohr
Ma Huateng President,President Ma
President George Walker Bush,President Bush
President Joachim Gauck,President Gauck
Walter Kohn Doctor,Doctor Kohn
Brian Olsavsky CFO,CFO Olsavsky
Doctor Julius Robert Oppenheimer,Doctor Oppenheimer
Doctor Richard Phillips Feynman,Doctor Feynman
Li Sanli Doctor,Doctor Li
Doctor Syed Ahson,Doctor Ahson
Angela Merkel Chancellor,Chancellor Merkel
Wu Eddie CEO,CEO Wu
Ronald Reagan President,President Reagan
President Abe Shinzo,President Shinzo
Professor Yukawa Hideki,Professor Yukawa
Marie Curie Doctor,Doctor Curie
Professor Michael Ralph Stonebraker,Professor Stonebraker
President Barack Obama,President Obama
Koshiba Masatoshi Doctor,Doctor Koshiba
CEO Elon Musk,CEO Musk
Colin Huang CTO,CTO Huang
Sundar Pichai CEO,CEO Pichai
CEO Satya Nadella,CEO Nadella
Professor Robert Koch,Professor Koch
Fukui Kenichi Doctor,Doctor Fukui
Professor Philip William Higgs,Professor Higgs
CFO Vaibhav Taneja,CFO Taneja
CTO Pravjit Tiwana,CTO Tiwana
Professor David Baltimore,Professor Baltimore
Tim Cook CEO,CEO Cook
Albert Einstein Doctor,Doctor Einstein
Emmanuel Macron President,President Macron
Iwata Satoru President,President Iwata
Professor Edgar Frank Codd,Professor Codd
Chancellor Helmut Kohl,Chancellor Kohl
Doctor Andrew Fielding Huxley,Doctor Huxley
President Mark Zuckerberg,President Zuckerberg
