Edgar Codd,Dr. Codd
Julius Robert Oppenheimer,Dr. Oppenheimer
Masukawa Toshihide,Dr. Masukawa
Robert Koch,Dr. Koch
Koshiba Masatoshi,Dr. Koshiba
Edsger Dijkstra,Dr. Dijkstra
Syed Ahson,Dr. Ahson
Akasaki Isamu,Dr. Akasaki
Kajita Takaaki,Dr. Kajita
Wang Ganchang,Dr. Wang
Enrico Fermi,Dr. Fermi
Konstantin Novoselov,Dr. Novoselov
Richard Axel,Dr. Axel
Steven Weinberg,Dr. Weinberg
Albert Einstein,Dr. Einstein
Li Kai,Dr. Li
Marie Curie,Dr. Curie
Kobayashi Makoto,Dr. Kobayashi
Walter Kohn,Dr. Kohn
Andrew Fielding Huxley,Dr. Huxley
Yousef Sobouti,Dr. Sobouti
Amano Hiroshi,Dr. Amano
Dorothy Hodgkin,Dr. Hodgkin
Fukui Kenichi,Dr. Fukui
Niels Bohr,Dr. Bohr
Tsungdao Lee,Dr. Lee
Richard Phillips Feynman,Dr. Feynman
Stephen Hawking,Dr. Hawking
Li Sanli,Dr. Li
Yukawa Hideki,Dr. Yukawa
Yang Zhenning,Dr. Yang
Mayim Bialik,Dr. Bialik
Samuel Ting,Dr. Ting
Martin Karplus,Dr. Karplus
David Baltimore,Dr. Baltimore
Har Gobind Khorana,Dr. Khorana
Donald Arthur Glaser,Dr. Glaser
Wu Chienshiung,Dr. Wu
Nakamura Shuji,Dr. Nakamura
Philip William Higgs,Dr. Higgs
