Niels Bohr,Dr. Bohr
Robert Koch,Dr. Koch
Nakamura Shuji,Dr. Nakamura
Steven Weinberg,Dr. Weinberg
Albert Einstein,Dr. Einstein
Donald Arthur Glaser,Dr. Glaser
Dorothy Hodgkin,Dr. Hodgkin
Kajita Takaaki,Dr. Kajita
Yang Zhenning,Dr. Yang
Li Sanli,Dr. Li
Masukawa Toshihide,Dr. Masukawa
Edsger Dijkstra,Dr. Dijkstra
Richard Phillips Feynman,Dr. Feynman
Konstantin Novoselov,Dr. Novoselov
Yousef Sobouti,Dr. Sobouti
Akasaki Isamu,Dr. Akasaki
Julius Robert Oppenheimer,Dr. Oppenheimer
Enrico Fermi,Dr. Fermi
Tsungdao Lee,Dr. Lee
David Baltimore,Dr. Baltimore
Walter Kohn,Dr. Kohn
Li Kai,Dr. Li
Marie Curie,Dr. Curie
Kobayashi Makoto,Dr. Kobayashi
Andrew Fielding Huxley,Dr. Huxley
Amano Hiroshi,Dr. Amano
Martin Karplus,Dr. Karplus
Wang Ganchang,Dr. Wang
Har Gobind Khorana,Dr. Khorana
Yukawa Hideki,Dr. Yukawa
Wu Chienshiung,Dr. Wu
Fukui Kenichi,Dr. Fukui
Samuel Ting,Dr. Ting
Philip William Higgs,Dr. Higgs
Syed Ahson,Dr. Ahson
Mayim Bialik,Dr. Bialik
Richard Axel,Dr. Axel
Koshiba Masatoshi,Dr. Koshiba
Edgar Codd,Dr. Codd
Stephen Hawking,Dr. Hawking
