"Czechia, Prague, Charles University",Charles University in Prague
"Princeton University, Princeton, New Jersey, USA",Princeton University in Princeton
"Stanford University, Stanford, California, USA",Stanford University in Stanford
"Edinburgh, University of Edinburgh, United Kingdom",University of Edinburgh in Edinburgh
"Beijing, Peking University, China",Peking University in Beijing
"University of Pennsylvania, Philadelphia, Pennsylvania, USA",University of Pennsylvania in Philadelphia
"Hongkong, University of Hongkong, China",University of Hongkong in Hongkong
"China, Shanghai, Tongji University",Tongji University in Shanghai
"Osaka, Osaka University, Japan",Osaka University in Osaka
"Manchester, University of Manchester, United Kingdom",University of Manchester in Manchester
"China, Tianjin, Nankai University",Nankai University in Tianjin
"Ithaca, Cornell University, USA",Cornell University in Ithaca
"Toronto, University of Toronto, Canada",University of Toronto in Toronto
"Canberra, Australian National University, Australia",Australian National University in Canberra
"Jakarta, University of Indonesia, Indonesia",University of Indonesia in Jakarta
"Houston, Rice University, USA",Rice University in Houston
"Johns Hopkins University, Baltimore, Maryland, USA",Johns Hopkins University in Baltimore
"Uganda, Kampala, Makerere University",Makerere University in Kampala
"Paris, Sorbonne University, France",Sorbonne University in Paris
"Delft, Delft University of Technology, Netherlands",Delft University of Technology in Delft
"Sendai, Tohoku University, Japan",Tohoku University in Sendai
"UC Berkeley, Berkeley, California, USA",UC Berkeley in Berkeley
"Massachusetts Institute of Technology, Cambridge, Massachusetts, USA",Massachusetts Institute of Technology in Cambridge
"China, Nanjing, Nanjing University",Nanjing University in Nanjing
"Leipzig, Leipzig University, Germany",Leipzig University in Leipzig
"Lausanne, EPFL, Switzerland",EPFL in Lausanne
"University of Tokyo, Tokyo, Japan",University of Tokyo in Tokyo
"China, Shanghai, Fudan University",Fudan University in Shanghai
"Caltech, Pasadena, California, USA",Caltech in Pasadena
"Tokyo, Waseda University, Japan",Waseda University in Tokyo
"Duke University, Durham, North Carolina, USA",Duke University in Durham
"Montreal, McGill University, Canada",McGill University in Montreal
"China, Beijing, Tsinghua University",Tsinghua University in Beijing
"Carnegie Mellon University, Pittsburgh, Pennsylvania, USA",Carnegie Mellon University in Pittsburgh
"Imperial College London, London, United Kingdom",Imperial College London in London
"Germany, Berlin, Humboldt University of Berlin",Humboldt University of Berlin in Berlin
"Harvard University, Cambridge, Massachusetts, USA",Harvard University in Cambridge
"Seoul, Seoul National University, South Korea",Seoul National University in Seoul
"Hokaido, Sapporo, Hokkaido University, Japan",Hokkaido University in Sapporo
"Drexel University, Philadelphia, Pennsylvania, USA",Drexel University in Philadelphia
