"Pillip A. Bernstein (1996). ""Repository system engineering"". International Conference on Management of Data.",Repository system engineering by Pillip A. Bernstein
"Karl Aberer. ""Book reviews"". ACM SIGMOD Record , 2002.",Book reviews by Karl Aberer
"Sunita Sarawagi (2001). ""User-cognizant multidimensional analysis"". The VLDB Journal -- The International Journal on Very Large Data Bases .",User-cognizant multidimensional analysis by Sunita Sarawagi
William W. Cohen. 1998. Providing database-like access to the Web using queries based on textual similarity. In International Conference on Management of Data.,Providing database-like access to the Web using queries based on textual similarity by William W. Cohen
Alon Y. Levy. 1996. Obtaining Complete Answers from Incomplete Databases. In Very Large Data Bases.,Obtaining Complete Answers from Incomplete Databases by Alon Y. Levy
Ronald Fagin. 2002. Combining fuzzy information: an overview. In ACM SIGMOD Record .,Combining fuzzy information: an overview by Ronald Fagin
"Goetz Graefe (1999). ""The Value of Merge-Join and Hash-Join in SQL Server"". Very Large Data Bases.",The Value of Merge-Join and Hash-Join in SQL Server by Goetz Graefe
"Hamid Pirahesh. ""Object-oriented features of DB2 client/server"". International Conference on Management of Data, 1994.",Object-oriented features of DB2 client/server by Hamid Pirahesh
Kenneth A. Ross. 2000. Reminiscences on Influential Papers. In ACM SIGMOD Record .,Reminiscences on Influential Papers by Kenneth A. Ross
"Alon Y. Halevy. ""Learning about data integration challenges from day one"". ACM SIGMOD Record , 2003.",Learning about data integration challenges from day one by Alon Y. Halevy
Ilsoo Ahn. 1994. SIGMOD challenges paper: database issues in telecommunications network management. In International Conference on Management of Data.,SIGMOD challenges paper: database issues in telecommunications network management by Ilsoo Ahn
"Frank Manola. ""Towards a richer Web object model"". ACM SIGMOD Record , 1998.",Towards a richer Web object model by Frank Manola
Hannes Spintzik. 1995. Informix-Online XPS: A Dynamically Scalable RDBMS for Open Parallel Platforms. In Very Large Data Bases.,Informix-Online XPS: A Dynamically Scalable RDBMS for Open Parallel Platforms by Hannes Spintzik
Frank Manola. 1998. Towards a richer Web object model. In ACM SIGMOD Record .,Towards a richer Web object model by Frank Manola
"Paolo Giorgini (2003). ""Agent-Oriented software engineering report on the 4th AOSE workshop (AOSE 2003)"". ACM SIGMOD Record .",Agent-Oriented software engineering report on the 4th AOSE workshop (AOSE 2003) by Paolo Giorgini
"Karl Aberer. ""Book reviews"". ACM SIGMOD Record , 2002.",Book reviews by Karl Aberer
"Sherri Kennamer (1998). ""Microsoft.com: a high-scale data management and transaction processing solution"". International Conference on Management of Data.",Microsoft.com: a high-scale data management and transaction processing solution by Sherri Kennamer
Len Seligman. 2002. Industry perspectives. In ACM SIGMOD Record .,Industry perspectives by Len Seligman
Michael Lesk. 1994. Experiments on Access to Digital Libraries: How can Images and Text be Used Together. In Very Large Data Bases.,Experiments on Access to Digital Libraries: How can Images and Text be Used Together by Michael Lesk
Peter Fankhauser. 2001. XQuery formal semantics state and challenges. In ACM SIGMOD Record .,XQuery formal semantics state and challenges by Peter Fankhauser
"Sherif Danish. ""Building database-driven electronic catalogs"". ACM SIGMOD Record , 1998.",Building database-driven electronic catalogs by Sherif Danish
Moira C. Norrie. 1995. Integration approaches for CIM. In International Conference on Management of Data.,Integration approaches for CIM by Moira C. Norrie
Keishi Tajima. 1996. Static detection of security flaws in object-oriented databases. In International Conference on Management of Data.,Static detection of security flaws in object-oriented databases by Keishi Tajima
"Stuart E. Madnick. ""From VLDB to VMLDB (Very MANY Large Data Bases): Dealing with Large-Scale Semantic Heterogenity"". Very Large Data Bases, 1995.",From VLDB to VMLDB (Very MANY Large Data Bases): Dealing with Large-Scale Semantic Heterogenity by Stuart E. Madnick
"Xiaolei Qian. ""Turmoil at NASA, and numerous funding announcements"". ACM SIGMOD Record , 1995.","Turmoil at NASA, and numerous funding announcements by Xiaolei Qian"
Rob Goldring. 1995. Things every update replication customer should know (abstract). In International Conference on Management of Data.,Things every update replication customer should know (abstract) by Rob Goldring
"James Chong. ""Real business processing meets the Web"". International Conference on Management of Data, 1998.",Real business processing meets the Web by James Chong
"Philip A. Bernstein (1994). ""PC Database Systems - Present and Future"". Very Large Data Bases.",PC Database Systems - Present and Future by Philip A. Bernstein
"Sunita Sarawagi. ""User-cognizant multidimensional analysis"". The VLDB Journal -- The International Journal on Very Large Data Bases , 2001.",User-cognizant multidimensional analysis by Sunita Sarawagi
Karl Aberer. 2002. Book reviews. In ACM SIGMOD Record .,Book reviews by Karl Aberer
"Susan Malaika. ""Database Management Systems and the Internet"". Very Large Data Bases, 1996.",Database Management Systems and the Internet by Susan Malaika
Michael M. David. 2003. ANSI SQL hierarchical processing can fully integrate native XML. In ACM SIGMOD Record .,ANSI SQL hierarchical processing can fully integrate native XML by Michael M. David
